id,actualPlayerCount,actualPlayerCountLastChangedAt,batchID,batchIDLastChangedAt,chat,chatLastChangedAt,ended,endedLastChangedAt,endedReason,endedReasonLastChangedAt,groupID,groupIDLastChangedAt,lobbyTimerID,lobbyTimerIDLastChangedAt,mediatorSequence,mediatorSequenceLastChangedAt,roundIndex,roundIndexLastChangedAt,scenarioOrder,scenarioOrderLastChangedAt,stageID,stageIDLastChangedAt,start,startLastChangedAt,starting,startingLastChangedAt,status,statusLastChangedAt,treatment,treatmentLastChangedAt,treatmentName,treatmentNameLastChangedAt
01KKYCCZGNAVH17MDMFMVP7JW5,,,01KKYCCZFG79ZEA8AHNXR4625S,2026-03-17T17:09:52.789106Z,,,false,2026-03-17T17:09:52.789106Z,batch ended,2026-03-17T17:18:33.36115Z,01KKYCCZHFTQJFMQDTQ0HSYRTX,2026-03-17T17:09:52.816189Z,,,,,,,,,,,false,2026-03-17T17:09:52.789106Z,,,terminated,2026-03-17T17:18:33.36115Z,"{""playerCount"":3}",2026-03-17T17:09:52.789106Z,triple,2026-03-17T17:09:52.789106Z
01KKYCDBB6VF611DZN7BKTXCDS,,,01KKYCDBA59V765MP442EM3597,2026-03-17T17:10:04.902369Z,,,false,2026-03-17T17:10:04.902369Z,batch ended,2026-03-17T17:11:12.280189Z,01KKYCDBDATBWRP0HYNPBNV8HH,2026-03-17T17:10:04.97057Z,,,,,,,,,,,false,2026-03-17T17:10:04.902369Z,,,terminated,2026-03-17T17:11:12.280189Z,"{""playerCount"":3}",2026-03-17T17:10:04.902369Z,triple,2026-03-17T17:10:04.902369Z
01KKYCDBB5DW5JTXQ40CCZAE2W,,,01KKYCDBA59V765MP442EM3597,2026-03-17T17:10:04.901495Z,,,false,2026-03-17T17:10:04.901495Z,batch ended,2026-03-17T17:11:12.280189Z,01KKYCDBD7JMMY8HSFYSWJK3WH,2026-03-17T17:10:04.967677Z,,,,,,,,,,,false,2026-03-17T17:10:04.901495Z,,,terminated,2026-03-17T17:11:12.280189Z,"{""playerCount"":3}",2026-03-17T17:10:04.901495Z,triple,2026-03-17T17:10:04.901495Z
01KKYCDBB7R48WJ7PS6DP43FZ0,,,01KKYCDBA59V765MP442EM3597,2026-03-17T17:10:04.903099Z,,,false,2026-03-17T17:10:04.903099Z,batch ended,2026-03-17T17:11:12.280189Z,01KKYCDBDDC6FG8BEJK0JF96MX,2026-03-17T17:10:04.973624Z,,,,,,,,,,,false,2026-03-17T17:10:04.903099Z,,,terminated,2026-03-17T17:11:12.280189Z,"{""playerCount"":3}",2026-03-17T17:10:04.903099Z,triple,2026-03-17T17:10:04.903099Z
01KKYDVVXBQS7GTFV5F1GQ3QR3,3,2026-03-17T17:35:57.583277Z,01KKYDVVWED34MFW7JWXQAX8WM,2026-03-17T17:35:29.19576Z,,,true,2026-03-17T17:37:23.613122Z,batch ended,2026-03-17T17:37:23.531372Z,01KKYDVVXR6A8AMTA6W2VBVF1Y,2026-03-17T17:35:29.209545Z,01KKYDW365XDF3RRFGPNGBQ52X,2026-03-17T17:35:36.647979Z,"[true,false]",2026-03-17T17:35:57.606689Z,1,2026-03-17T17:35:57.606689Z,"[""A"",""B""]",2026-03-17T17:35:57.606689Z,null,2026-03-17T17:37:23.613122Z,true,2026-03-17T17:35:57.583277Z,true,2026-03-17T17:35:57.583277Z,terminated,2026-03-17T17:37:23.531372Z,"{""playerCount"":3}",2026-03-17T17:35:29.19576Z,triple,2026-03-17T17:35:29.19576Z
01KKYDZC892WJ7M77BX48Y42EZ,3,2026-03-17T17:37:51.637331Z,01KKYDZC7J19KBRFEVWVHTXMC5,2026-03-17T17:37:24.233861Z,,,true,2026-03-17T17:39:37.209295Z,batch ended,2026-03-17T17:39:37.194535Z,01KKYDZC8KBFT0B0D8KZ7KBDSW,2026-03-17T17:37:24.244423Z,01KKYDZW5HVQQJ594TKE9S9YMM,2026-03-17T17:37:40.534269Z,"[true,false]",2026-03-17T17:37:51.657402Z,1,2026-03-17T17:37:51.657402Z,"[""A"",""B""]",2026-03-17T17:37:51.657402Z,null,2026-03-17T17:39:37.209295Z,true,2026-03-17T17:37:51.637331Z,true,2026-03-17T17:37:51.637331Z,terminated,2026-03-17T17:39:37.194535Z,"{""playerCount"":3}",2026-03-17T17:37:24.233861Z,triple,2026-03-17T17:37:24.233861Z
01KKYC3RG4GPEC1S8NF0EKY8GH,,,01KKYC3RESZK2X8CX0B1P9RNFG,2026-03-17T17:04:50.692743Z,,,false,2026-03-17T17:04:50.692743Z,batch ended,2026-03-17T17:09:43.595804Z,01KKYC3RJHA760Q5AMQFNEZABW,2026-03-17T17:04:50.769831Z,,,,,,,,,,,false,2026-03-17T17:04:50.692743Z,,,terminated,2026-03-17T17:09:43.595804Z,"{""playerCount"":3}",2026-03-17T17:04:50.692743Z,triple,2026-03-17T17:04:50.692743Z
01KKYC3RGH3SEQ7Q786N6M6X6E,,,01KKYC3RESZK2X8CX0B1P9RNFG,2026-03-17T17:04:50.70543Z,,,false,2026-03-17T17:04:50.70543Z,batch ended,2026-03-17T17:09:43.595804Z,01KKYC3RJY6RCNSW06R8B1681Z,2026-03-17T17:04:50.782898Z,,,,,,,,,,,false,2026-03-17T17:04:50.70543Z,,,terminated,2026-03-17T17:09:43.595804Z,"{""playerCount"":3}",2026-03-17T17:04:50.70543Z,triple,2026-03-17T17:04:50.70543Z
01KKYCCZGQ6EHKYAQQSQTXC58W,,,01KKYCCZFG79ZEA8AHNXR4625S,2026-03-17T17:09:52.791954Z,,,false,2026-03-17T17:09:52.791954Z,batch ended,2026-03-17T17:18:33.36115Z,01KKYCCZHT5MVQ7N945Y07GHCK,2026-03-17T17:09:52.826621Z,,,,,,,,,,,false,2026-03-17T17:09:52.791954Z,,,terminated,2026-03-17T17:18:33.36115Z,"{""playerCount"":3}",2026-03-17T17:09:52.791954Z,triple,2026-03-17T17:09:52.791954Z
01KKYC3RGJNVXQH2890PHJBGQD,,,01KKYC3RESZK2X8CX0B1P9RNFG,2026-03-17T17:04:50.706309Z,,,false,2026-03-17T17:04:50.706309Z,batch ended,2026-03-17T17:09:43.595804Z,01KKYC3RKC7PQJQ2XW9QVNT9P5,2026-03-17T17:04:50.797216Z,,,,,,,,,,,false,2026-03-17T17:04:50.706309Z,,,terminated,2026-03-17T17:09:43.595804Z,"{""playerCount"":3}",2026-03-17T17:04:50.706309Z,triple,2026-03-17T17:04:50.706309Z
01KKYCFRJBJ4AVVPDT6ZA769QY,,,01KKYCFRHMSRSKBG2VFCDREHRN,2026-03-17T17:11:23.979116Z,,,false,2026-03-17T17:11:23.979116Z,batch ended,2026-03-17T17:12:38.849613Z,01KKYCFRK3H1271DXTC408P681,2026-03-17T17:11:24.004218Z,01KKYCGWS68F61QV1HMB621X7Y,2026-03-17T17:12:01.066755Z,,,,,,,,,false,2026-03-17T17:11:23.979116Z,,,terminated,2026-03-17T17:12:38.849613Z,"{""playerCount"":3}",2026-03-17T17:11:23.979116Z,triple,2026-03-17T17:11:23.979116Z
01KKYCCZGQ6EHKYAQQRZ8Y19ZR,,,01KKYCCZFG79ZEA8AHNXR4625S,2026-03-17T17:09:52.791381Z,,,false,2026-03-17T17:09:52.791381Z,batch ended,2026-03-17T17:18:33.36115Z,01KKYCCZHKK6V8BGQ1ZRYG515V,2026-03-17T17:09:52.820056Z,,,,,,,,,,,false,2026-03-17T17:09:52.791381Z,,,terminated,2026-03-17T17:18:33.36115Z,"{""playerCount"":3}",2026-03-17T17:09:52.791381Z,triple,2026-03-17T17:09:52.791381Z
01KKYCCZGSCC067JDXPZQ40ZH8,,,01KKYCCZFG79ZEA8AHNXR4625S,2026-03-17T17:09:52.793159Z,,,false,2026-03-17T17:09:52.793159Z,batch ended,2026-03-17T17:18:33.36115Z,01KKYCCZJWQ7V5TWPQ851QWSHR,2026-03-17T17:09:52.861179Z,,,,,,,,,,,false,2026-03-17T17:09:52.793159Z,,,terminated,2026-03-17T17:18:33.36115Z,"{""playerCount"":3}",2026-03-17T17:09:52.793159Z,triple,2026-03-17T17:09:52.793159Z
