id,batchID,batchIDLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,name,nameLastChangedAt,stageIndex,stageIndexLastChangedAt,start,startLastChangedAt,task,taskLastChangedAt
01KKYDQ7V8Z513WE5K1HKWYJ7V,01KKYDPJZ4TJPM3Y622PH5P145,2026-03-17T17:32:57.576533Z,true,2026-03-17T17:35:20.00635Z,01KKYDPJZPGMWCCSWYQ5GPZE02,2026-03-17T17:32:57.576533Z,0,2026-03-17T17:32:57.576533Z,Round 1,2026-03-17T17:32:57.576533Z,1,2026-03-17T17:32:57.58546Z,true,2026-03-17T17:32:57.611386Z,chat,2026-03-17T17:32:57.576533Z
01KKYDQ7V9Y37YF9G5BRAMZKTQ,01KKYDPJZ4TJPM3Y622PH5P145,2026-03-17T17:32:57.577165Z,false,2026-03-17T17:32:57.577165Z,01KKYDPJZPGMWCCSWYQ5GPZE02,2026-03-17T17:32:57.577165Z,1,2026-03-17T17:32:57.577165Z,Round 2,2026-03-17T17:32:57.577165Z,1,2026-03-17T17:32:57.589649Z,false,2026-03-17T17:32:57.577165Z,chat,2026-03-17T17:32:57.577165Z
01KKYE0718882YEBCWH5M8KDEM,01KKYDZC7J19KBRFEVWVHTXMC5,2026-03-17T17:37:51.656526Z,true,2026-03-17T17:39:37.206059Z,01KKYDZC892WJ7M77BX48Y42EZ,2026-03-17T17:37:51.656526Z,0,2026-03-17T17:37:51.656526Z,Round 1,2026-03-17T17:37:51.656526Z,1,2026-03-17T17:37:51.664559Z,true,2026-03-17T17:37:51.683424Z,,
01KKYERN10QC2XGH70F7A3PYH1,01KKYER6CB4640Z8X5TXVEJX6P,2026-03-17T17:51:12.416717Z,true,2026-03-17T18:01:12.496151Z,01KKYER6CRXX4KVR5JVSDKGX5E,2026-03-17T17:51:12.416717Z,0,2026-03-17T17:51:12.416717Z,Round 1,2026-03-17T17:51:12.416717Z,1,2026-03-17T17:51:12.42404Z,true,2026-03-17T17:51:12.437301Z,,
01KKYCXTX9YJQWPBNMA23WD2W6,01KKYCWKTHD9JGPE5F478XGGX4,2026-03-17T17:19:05.129933Z,true,2026-03-17T17:29:05.218249Z,01KKYCWKV5C1SVGT78Q00E7CTB,2026-03-17T17:19:05.129933Z,0,2026-03-17T17:19:05.129933Z,Round 1,2026-03-17T17:19:05.129933Z,1,2026-03-17T17:19:05.138108Z,true,2026-03-17T17:19:05.15185Z,chat,2026-03-17T17:19:05.129933Z
01KKYE4MFE903WNMM3VZJ3F785,01KKYE3YGJAE8ETR2FGGFGTDR8,2026-03-17T17:40:16.494753Z,true,2026-03-17T17:50:44.120124Z,01KKYE3YH22P58CF5XWY53PYS6,2026-03-17T17:40:16.494753Z,0,2026-03-17T17:40:16.494753Z,Round 1,2026-03-17T17:40:16.494753Z,1,2026-03-17T17:40:16.505954Z,true,2026-03-17T17:40:16.524964Z,,
01KKYCK3GJKB3N73KC5YZGMZW0,01KKYCJ6S7RBKN554GX1A2GGDK,2026-03-17T17:13:13.490489Z,true,2026-03-17T17:18:16.576925Z,01KKYCJ6SWYA0147PF7D6CVQVA,2026-03-17T17:13:13.490489Z,0,2026-03-17T17:13:13.490489Z,Round 1,2026-03-17T17:13:13.490489Z,1,2026-03-17T17:13:13.49856Z,true,2026-03-17T17:13:13.511652Z,chat,2026-03-17T17:13:13.490489Z
01KKYCXTXBWHQPMD60D7J8RQPV,01KKYCWKTHD9JGPE5F478XGGX4,2026-03-17T17:19:05.13197Z,true,2026-03-17T17:32:29.420026Z,01KKYCWKV5C1SVGT78Q00E7CTB,2026-03-17T17:19:05.13197Z,1,2026-03-17T17:19:05.13197Z,Round 2,2026-03-17T17:19:05.13197Z,1,2026-03-17T17:19:05.141785Z,true,2026-03-17T17:29:05.230624Z,chat,2026-03-17T17:19:05.13197Z
01KKYDWQN5200CH9Z0E0GPC1BH,01KKYDVVWED34MFW7JWXQAX8WM,2026-03-17T17:35:57.605765Z,false,2026-03-17T17:35:57.605765Z,01KKYDVVXBQS7GTFV5F1GQ3QR3,2026-03-17T17:35:57.605765Z,1,2026-03-17T17:35:57.605765Z,Round 2,2026-03-17T17:35:57.605765Z,1,2026-03-17T17:35:57.617154Z,false,2026-03-17T17:35:57.605765Z,chat,2026-03-17T17:35:57.605765Z
01KKYE4MFGBZVMFB51XQPPMFKM,01KKYE3YGJAE8ETR2FGGFGTDR8,2026-03-17T17:40:16.496182Z,false,2026-03-17T17:40:16.496182Z,01KKYE3YH22P58CF5XWY53PYS6,2026-03-17T17:40:16.496182Z,1,2026-03-17T17:40:16.496182Z,Round 2,2026-03-17T17:40:16.496182Z,1,2026-03-17T17:40:16.510355Z,false,2026-03-17T17:40:16.496182Z,,
